product_id,product_name,category,brand,cost_price,unit_price,stock_quantity,created_at
1,Caixa de Som Bluetooth,Eletrônicos,Nike,1248.44,2248.61,136,2026-06-30 11:07:47.013892
2,Micro-ondas,Casa,LG,1647.78,2380.13,295,2026-06-30 11:07:47.013892
3,Fone Bluetooth,Eletrônicos,LG,2942.45,4376.66,389,2026-06-30 11:07:47.013892
4,Memória RAM 16GB,Informática,Motorola,384.57,614.31,262,2026-06-30 11:07:47.013892
5,Caixa de Som Bluetooth,Eletrônicos,Philips,2585.98,4897.24,269,2026-06-30 11:07:47.013892
6,Micro-ondas,Casa,Xiaomi,375.83,604.53,312,2026-06-30 11:07:47.013892
7,SSD 1TB,Informática,Nike,2895.99,6108.42,476,2026-06-30 11:07:47.013892
8,Soundbar,Eletrônicos,Samsung,2264.48,4846.77,439,2026-06-30 11:07:47.013892
9,SSD 1TB,Informática,Motorola,1833.93,2394.04,44,2026-06-30 11:07:47.013892
10,Aspirador,Casa,Lenovo,1732.55,2147.53,92,2026-06-30 11:07:47.013892
11,Notebook,Informática,LG,1405.64,2133.17,495,2026-06-30 11:07:47.013892
12,Aspirador,Casa,Nike,1191.49,1789.62,360,2026-06-30 11:07:47.013892
13,Air Fryer,Casa,LG,2027.58,4274.65,472,2026-06-30 11:07:47.013892
14,Teclado Mecânico,Informática,Lenovo,2200.16,2983.94,486,2026-06-30 11:07:47.013892
15,SSD 1TB,Informática,LG,1093.26,2271.44,490,2026-06-30 11:07:47.013892
16,Fone Bluetooth,Eletrônicos,LG,2255.84,4748.19,391,2026-06-30 11:07:47.013892
17,Película,Celulares,Samsung,1626.87,2250.37,55,2026-06-30 11:07:47.013892
18,Fone Bluetooth,Eletrônicos,Samsung,272.04,384.11,401,2026-06-30 11:07:47.013892
19,Micro-ondas,Casa,Samsung,1312.18,2208.95,400,2026-06-30 11:07:47.013892
20,Mochila,Esportes,Motorola,2257.48,3646.62,170,2026-06-30 11:07:47.013892
21,Liquidificador,Casa,Philips,148.52,185.33,162,2026-06-30 11:07:47.013892
22,Tênis Corrida,Esportes,Apple,2003.08,3103.87,237,2026-06-30 11:07:47.013892
23,Caixa de Som Bluetooth,Eletrônicos,Dell,2103.66,3101.04,266,2026-06-30 11:07:47.013892
24,Aspirador,Casa,Samsung,1293.34,2538.19,216,2026-06-30 11:07:47.013892
25,Aspirador,Casa,LG,421.9,608.48,129,2026-06-30 11:07:47.013892
26,Smartwatch,Celulares,Lenovo,209.6,393.76,426,2026-06-30 11:07:47.013892
27,Tênis Corrida,Esportes,Adidas,2044.12,3668.77,167,2026-06-30 11:07:47.013892
28,Liquidificador,Casa,LG,740.6,1315.14,274,2026-06-30 11:07:47.013892
29,Smartwatch,Celulares,Dell,1822.31,3536.87,170,2026-06-30 11:07:47.013892
30,SSD 1TB,Informática,Xiaomi,377.25,600.97,333,2026-06-30 11:07:47.013892
31,Smartwatch,Celulares,Motorola,2303.46,2874.03,199,2026-06-30 11:07:47.013892
32,Smartwatch,Celulares,Samsung,1264.34,2311.77,484,2026-06-30 11:07:47.013892
33,Teclado Mecânico,Informática,Samsung,1327.37,2896.85,356,2026-06-30 11:07:47.013892
34,Garrafa Térmica,Esportes,Dell,2246.07,4150.33,325,2026-06-30 11:07:47.013892
35,Mouse,Informática,Lenovo,1383.28,2854.88,471,2026-06-30 11:07:47.013892
36,Notebook,Informática,Nike,1104.42,2010.78,435,2026-06-30 11:07:47.013892
37,Notebook,Informática,LG,1052.28,1341.67,77,2026-06-30 11:07:47.013892
38,Fone Bluetooth,Eletrônicos,Philips,2117.58,2867.36,87,2026-06-30 11:07:47.013892
39,Mochila,Esportes,Xiaomi,2198.67,3792.87,171,2026-06-30 11:07:47.013892
40,Smartwatch,Celulares,Xiaomi,2817.8,3872.7,305,2026-06-30 11:07:47.013892
41,Cafeteira,Casa,Samsung,1475.53,2517.61,156,2026-06-30 11:07:47.013892
42,Carregador Turbo,Celulares,Lenovo,398.04,516.92,485,2026-06-30 11:07:47.013892
43,SSD 1TB,Informática,Philips,2267.99,3596.1,425,2026-06-30 11:07:47.013892
44,Caixa de Som Bluetooth,Eletrônicos,Dell,1110.11,1864.63,444,2026-06-30 11:07:47.013892
45,Caixa de Som Bluetooth,Eletrônicos,Xiaomi,471.25,977.35,443,2026-06-30 11:07:47.013892
46,Garrafa Térmica,Esportes,Dell,2866.39,3944.93,41,2026-06-30 11:07:47.013892
47,Air Fryer,Casa,Dell,2698.96,4210.96,32,2026-06-30 11:07:47.013892
48,Soundbar,Eletrônicos,Philips,1998.85,3544.21,139,2026-06-30 11:07:47.013892
49,Memória RAM 16GB,Informática,Xiaomi,2550.58,4067.78,380,2026-06-30 11:07:47.013892
50,Notebook,Informática,LG,2034.05,3670.19,297,2026-06-30 11:07:47.013892
51,Tênis Corrida,Esportes,Nike,1547.91,2382.03,173,2026-06-30 11:07:47.013892
52,Mochila,Esportes,Adidas,629.54,1198.34,40,2026-06-30 11:07:47.013892
53,Carregador Turbo,Celulares,Adidas,695.76,1478.71,440,2026-06-30 11:07:47.013892
54,Bola Futebol,Esportes,Samsung,1472.59,2408.6,126,2026-06-30 11:07:47.013892
55,Liquidificador,Casa,Xiaomi,622.51,993.98,394,2026-06-30 11:07:47.013892
56,Monitor Gamer,Eletrônicos,Apple,721.76,923.27,378,2026-06-30 11:07:47.013892
57,Tênis Corrida,Esportes,Dell,604.3,977.76,240,2026-06-30 11:07:47.013892
58,Air Fryer,Casa,Philips,1143.61,1805.4,472,2026-06-30 11:07:47.013892
59,Capa,Celulares,Xiaomi,658.62,1179.77,383,2026-06-30 11:07:47.013892
60,Monitor Gamer,Eletrônicos,Nike,309.01,374.93,172,2026-06-30 11:07:47.013892
61,Mochila,Esportes,Apple,1768.95,2869.28,407,2026-06-30 11:07:47.013892
62,Bola Futebol,Esportes,Nike,2857.72,5505.3,205,2026-06-30 11:07:47.013892
63,Smartphone,Celulares,LG,418.76,530.92,162,2026-06-30 11:07:47.013892
64,Monitor Gamer,Eletrônicos,Samsung,1832.12,2713.8,30,2026-06-30 11:07:47.013892
65,Tênis Corrida,Esportes,Xiaomi,2622.46,5458.6,424,2026-06-30 11:07:47.013892
66,Caixa de Som Bluetooth,Eletrônicos,Apple,899.67,1293.41,120,2026-06-30 11:07:47.013892
67,Fone Bluetooth,Eletrônicos,Apple,2203.01,4340.43,462,2026-06-30 11:07:47.013892
68,Air Fryer,Casa,LG,2680.89,4264.5,90,2026-06-30 11:07:47.013892
69,Garrafa Térmica,Esportes,Lenovo,1499.54,2266.85,430,2026-06-30 11:07:47.013892
70,Capa,Celulares,Apple,2204.66,2764.67,464,2026-06-30 11:07:47.013892
71,Micro-ondas,Casa,Apple,661.88,1158.02,364,2026-06-30 11:07:47.013892
72,Memória RAM 16GB,Informática,Samsung,1631.08,2649.45,173,2026-06-30 11:07:47.013892
73,Monitor Gamer,Eletrônicos,Motorola,1524.93,3027.35,471,2026-06-30 11:07:47.013892
74,Bola Futebol,Esportes,Nike,2656.99,4000.98,190,2026-06-30 11:07:47.013892
75,Micro-ondas,Casa,Apple,583.17,748.35,461,2026-06-30 11:07:47.013892
76,Tênis Corrida,Esportes,Xiaomi,2441.15,3935.87,99,2026-06-30 11:07:47.013892
